"","team1","team2","p1","pd","p2","BbAvH","BbAvD","BbAvA","data1819$result[281:380]"
"281","Brighton","Huddersfield",0.605627129953936,0.279930358250777,0.114442511795287,0.528056736548893,0.283499486878757,0.18844377657235,"H"
"282","Burnley","Crystal Palace",0.313852309189817,0.290006000272767,0.396141690537417,0.341569565061722,0.296237801797358,0.36219263314092,"A"
"283","Man United","Southampton",0.722361614688314,0.173191006499675,0.104447378812011,0.660749423275947,0.214337061241638,0.124913515482415,"H"
"284","Tottenham","Arsenal",0.521900885722729,0.226641920521763,0.251457193755507,0.470809557328607,0.266053046246637,0.263137396424756,"D"
"285","West Ham","Newcastle",0.424377202923739,0.325983441310575,0.249639355765686,0.459011134038659,0.278875950622325,0.262112915339016,"H"
"286","Wolves","Cardiff",0.665268278806625,0.219562270102842,0.115169451090533,0.636759742642769,0.228386511019141,0.13485374633809,"H"
"287","Everton","Liverpool",0.0835238847018313,0.202335434673562,0.714140680624607,0.170148815300122,0.241115406606203,0.588735778093674,"D"
"288","Fulham","Chelsea",0.0952725312994522,0.173540590108054,0.731186878592494,0.153311278633732,0.216296950668358,0.630391770697911,"A"
"289","Watford","Leicester",0.453641194542859,0.276279627798625,0.270079177658516,0.389556524513453,0.287780495586515,0.322662979900032,"H"
"290","Cardiff","West Ham",0.229337798174443,0.273980431476718,0.496681770348838,0.279008951621015,0.281456398565058,0.439534649813927,"H"
"291","Crystal Palace","Brighton",0.457089796504761,0.300821489528754,0.242088713966485,0.519869855296307,0.276367595487979,0.203762549215714,"A"
"292","Huddersfield","Bournemouth",0.163068252345523,0.274826106415933,0.562105641238544,0.282957561704854,0.29693077462855,0.420111663666595,"A"
"293","Leicester","Fulham",0.671909458216226,0.206631195392255,0.121459346391519,0.602834028440782,0.224310336164012,0.172855635395206,"H"
"294","Man City","Watford",0.835502634029564,0.117275706243047,0.0472216597273889,0.834891680427249,0.112955933234275,0.0521523863384757,"H"
"295","Newcastle","Everton",0.338823851142243,0.327672029179072,0.333504119678685,0.34489839776499,0.30645430884214,0.34864729339287,"H"
"296","Southampton","Tottenham",0.156108610936561,0.229891357330159,0.614000031733281,0.226392251815981,0.257869249394673,0.515738498789346,"H"
"297","Arsenal","Man United",0.471481482299893,0.219263662562722,0.309254855137385,0.403194848616185,0.272614698780261,0.324190452603554,"H"
"298","Chelsea","Wolves",0.562510877717695,0.25769837341119,0.179790748871115,0.61500835485341,0.238067750265836,0.146923894880753,"D"
"299","Liverpool","Burnley",0.90836631761311,0.074498111144863,0.0171355712420268,0.820550413510589,0.125332112768589,0.0541174737208224,"H"
"300","Bournemouth","Newcastle",0.421718527598607,0.300070627065579,0.278210845335814,0.460755327051079,0.280225462066153,0.259019210882768,"D"
"301","Burnley","Leicester",0.304557301028477,0.282002000304356,0.413440698667167,0.313584403382399,0.289899780770435,0.396515815847166,"A"
"302","West Ham","Huddersfield",0.670459180558733,0.240174986856099,0.0893658325851682,0.61201079144332,0.239019139941794,0.148970068614886,"H"
"303","Everton","Chelsea",0.270669590211428,0.270903765816601,0.458426643971971,0.239708692732813,0.268581168328082,0.491710138939104,"H"
"304","Fulham","Liverpool",0.0196716166653703,0.0812167303971053,0.899111652937524,0.0820651173049971,0.151774947535549,0.766159935159453,"A"
"305","Brighton","Southampton",0.44081331902763,0.294909726274922,0.264276954697448,0.373924290696429,0.310998520093794,0.315077189209778,"A"
"306","Burnley","Wolves",0.26934065339919,0.281732063991699,0.448927282609111,0.304933351655902,0.303009481929366,0.392057166414731,"H"
"307","Crystal Palace","Huddersfield",0.647933666442507,0.25892288561245,0.0931434479450426,0.658220422161802,0.224009747402385,0.117769830435813,"H"
"308","Fulham","Man City",0.0201238465148676,0.0662806949713276,0.913595458513805,0.0485702755547987,0.101234989512531,0.850194734932671,"A"
"309","Leicester","Bournemouth",0.473133710607988,0.260213977425279,0.266652311966733,0.525069829058465,0.253529759149602,0.221400411791933,"H"
